시가,고가,저가,종가,거래량,거래대금,등락률
41600,42100,40800,41800,18688,778117900,2.08
30050,30500,30050,30300,237,7206000,-0.66
118500,121500,117500,121000,56198,6738528500,2.54
50900,51000,50700,50800,2400,121858600,0.2
17800,18000,17500,17900,3783,67254500,0.56
70200,70500,69600,69900,6802,476078200,-0.43
56600,56600,55100,56300,132,7308000,0.0
13000,13050,12950,13000,1096,14211600,0.0
9400,9400,9320,9370,10972,102636700,0.54
2625,2625,2580,2600,25472,66177010,-0.38
2610,2630,2600,2610,16964,44252100,-0.19
13150,13150,12600,12600,89750,1147205600,-3.45
1275,1280,1265,1275,190862,242530150,0.0
5630,5750,5590,5720,8631,49156180,1.96
8730,8860,8520,8570,465530,4054604480,-1.38
25450,25750,25050,25250,260,6552250,-0.2
24800,24850,24550,24600,26526,653706450,-0.4
444500,450000,439500,443000,39553,17535081000,-0.23
3870,3900,3820,3865,19399,74795275,0.91
42250,42350,41250,41250,7642,319188150,-1.08
15450,15450,14850,14950,11357,170853150,-0.66
2840,2865,2810,2840,3372,9554785,0.0
37400,38550,36850,37800,91139,3442603450,0.13
5900,5950,5830,5830,13715,80289390,-0.34
744,754,731,736,495843,366544476,0.27
3390,3390,3330,3335,13802,46293365,-0.3
5050,5050,4895,5010,21082,104535165,0.5
49150,49550,48950,49050,6477,318197550,0.1
34100,34250,33500,33950,3773,128150100,-0.44
7450,7450,7260,7320,144431,1057757190,-0.41
8600,8790,8490,8580,150810,1299811260,0.12
446000,448000,441500,445500,14771,6549577500,0.0
211,213,210,211,755761,159370876,0.0
2710,2745,2710,2730,2053,5601145,0.18
1255,1265,1240,1255,91857,115249215,1.21
32550,32900,32400,32600,8519,277405550,0.15
0,0,0,3000,0,0,0.0
9750,9940,9670,9770,43762,427732860,-0.51
1720,1740,1705,1710,37620,64677605,-0.29
8170,8170,8170,8170,1,8170,0.0
3200,3230,3125,3125,47430,149055520,-1.26
9460,11300,9300,10350,5831260,62190372550,10.11
13300,15500,13150,13650,516556,7533439650,3.41
1105,1125,1050,1100,712600,778353040,-2.22
2215,2295,2160,2185,1403639,3105451760,-1.13
7750,7910,7700,7710,4622,36255860,0.0
37650,38200,36800,37650,187523,7021129750,0.27
8530,8530,8460,8460,7578,64329830,-1.63
45750,46550,45400,45400,45084,2075077800,0.0
16950,17250,16850,16900,76773,1303877850,1.2
133500,140000,133500,138500,18811,2589970000,4.14
152500,162500,151500,158000,36219,5739635500,5.33
17700,17800,17500,17550,35549,626373800,0.29
103000,104500,103000,104500,76,7881000,1.46
1765,1790,1730,1730,403379,710656040,-0.57
570,570,560,561,2387097,1345027359,-0.36
6490,7130,6350,6980,126304,852626360,9.06
2565,2605,2545,2585,14084,36175765,0.98
5920,6010,5850,5890,126644,750655740,1.03
5990,6020,5860,5930,266149,1577184510,1.89
1195,1220,1190,1205,20529,24763790,0.84
13950,17300,13850,15750,3368221,54474889900,14.96
0,0,0,2490,0,0,0.0
167500,170000,167000,168000,305133,51374910500,0.9
33900,34750,32850,33350,141625,4764187750,-0.15
8500,8550,8440,8480,19660,166821430,-0.24
10200,10450,9990,9990,1687,17024170,-1.09
20400,21000,20200,20900,373808,7764562050,3.21
19350,19400,18800,18850,157395,2985714450,-2.08
24700,25950,24300,25050,525864,13185099950,4.38
3010,3190,2965,2985,6454211,19905986790,0.17
8230,8250,8170,8250,57346,470083600,0.49
5520,5550,5490,5520,74072,408977090,0.36
41200,41500,40950,40950,3103,127698250,-0.61
85700,86500,85100,85500,1738,148336800,-0.12
33500,33500,32850,33200,5038,166838650,0.0
11200,11300,11050,11250,4888,54588550,0.45
1745,1800,1720,1720,4129271,7268664900,-1.15
2330,2345,2305,2305,77519,180040365,-0.43
237000,237000,230500,232500,73777,17183527000,-1.27
14250,14300,13900,14100,33692,472469850,-0.7
18100,18150,17900,17950,4621,83174650,-0.83
25450,25550,24400,24700,249393,6163319700,-3.52
49250,49750,48750,48900,5211,254626600,-0.71
6310,6540,6310,6430,72427,466041190,1.9
10800,10800,10550,10650,9018,95835650,-1.39
56900,57500,56900,57300,701,40065900,1.06
57500,57700,57200,57500,352,20258000,0.17
1560,1585,1535,1545,521487,812934120,0.0
1945,1950,1925,1940,516196,998061395,-0.26
1150,1230,1135,1155,266043,315123765,0.43
21000,21200,20750,20950,159829,3348187750,0.48
43400,43400,42600,42800,2317,99352050,-1.04
3930,4320,3915,4095,108119,432131415,3.8
6950,6950,6910,6930,29283,202977280,-0.29
40100,40400,39850,40050,1230611,49379299800,0.13
14800,14800,14600,14700,1524,22412250,-0.68
345,346,337,341,1420575,484591634,0.0
5460,5470,5380,5400,586624,3167665460,-0.55
0,0,0,8760,0,0,0.0
2640,2640,2575,2590,460319,1193978155,-1.89
0,0,0,6410,0,0,0.0
19650,19700,19150,19250,65044,1256349500,-1.53
911,1000,886,903,3185912,2985414193,-0.88
71400,76400,71300,73400,1392173,103209601800,9.55
1895,1920,1855,1855,1019626,1919748005,-1.07
37550,37700,36950,37300,359516,13419658600,-0.67
29200,29300,29050,29300,670,19573500,0.34
14300,14350,13850,14050,9488,132534550,-1.4
146500,146500,139000,140000,365507,51388688500,-2.78
48500,48500,47050,47350,7862,372828600,-1.56
138500,139000,135000,135500,3229,442091000,-1.45
9760,9760,9560,9670,46207,444883800,0.31
39900,39900,39200,39300,21128,832849800,-1.5
796,797,788,797,29333,23256532,0.89
16550,16550,15900,15950,49553,793967800,-2.15
14150,14150,13800,13800,271294,3765922150,-1.43
10450,10500,10300,10300,23832,246788450,-1.44
34750,35500,34400,35050,322075,11263643400,2.34
9600,9600,9450,9470,28055,266629530,-1.04
2810,2840,2765,2790,506629,1420994040,-0.71
19150,19250,18400,18450,163956,3045611450,-4.4
8830,8870,8740,8740,93946,827934940,-0.11
843,856,843,855,91371,77673993,1.66
30750,31100,30650,30700,209809,6468224250,0.16
25350,26300,25300,26050,251320,6504340600,3.99
2050,2090,2000,2040,97799,198613320,0.25
58300,58700,57600,58100,60221,3505553700,-0.34
1795,1915,1755,1825,432655,798814115,1.67
3045,3045,2930,3000,963493,2872027500,-1.32
4085,4085,4020,4045,3173,12815365,-0.49
5610,5790,5490,5790,57895,328158490,3.39
1615,1620,1585,1605,83238,133273610,-0.62
0,0,0,572,0,0,0.0
412,417,404,407,3807863,1551490671,-0.49
4725,4785,4710,4750,19579,92584290,0.0
450000,454500,445000,449000,85816,38534740000,0.67
1965,1975,1960,1970,23137,45484400,0.25
890,905,890,904,171333,153970871,0.89
2850,2850,2650,2780,293529,819797305,-1.07
28950,29500,28700,29400,43360,1263774550,1.73
3530,3585,3530,3580,18077,64306540,1.42
43850,44050,43250,43900,108451,4728654400,0.23
59900,61900,59800,61000,14016,852048100,2.35
3410,3485,3360,3460,1001071,3436882875,1.91
618000,624000,614000,617000,3243,2006297000,0.33
