시가,고가,저가,종가,거래량,거래대금,등락률
5890,5950,5840,5920,8382,49140880,0.68
27900,27900,27200,27900,19663,540593500,0.0
13300,13350,13050,13100,32166,421876300,-1.13
20200,20600,20050,20050,965770,19612184150,2.56
3735,3980,3670,3680,1254874,4753990510,-0.67
5200,6250,5120,5520,6346777,36904238180,6.36
17000,17150,16900,17050,30788,523163900,0.29
5300,5370,5240,5240,233794,1238065430,0.38
922,935,917,919,82909,76625784,-0.97
10500,10550,10400,10500,7798,81511900,0.0
3395,3450,3370,3380,55276,187547845,-0.29
5170,5250,5130,5150,113636,587635180,-0.39
3465,3490,3310,3360,1176386,3994551665,-5.49
10200,10300,10100,10250,25853,263024000,0.49
16500,16600,16300,16450,10272,168745800,0.0
10200,10250,10150,10200,4813,48968650,0.49
8040,8050,7870,7970,24416,194030350,0.13
3765,3845,3765,3845,191350,730319035,2.4
4740,4830,4645,4700,68228,322599810,-0.11
2005,2015,1950,1985,59434,117826805,0.25
3800,3800,3730,3790,25359,95667780,0.66
8540,8630,8490,8540,4770,40720770,0.0
8140,8140,7730,7800,254724,2011651830,-2.99
2755,2810,2750,2780,199245,552532435,0.91
45850,47450,45800,46900,229965,10742949900,2.4
7830,7890,7780,7810,37289,291777430,0.13
3480,3545,3415,3485,178552,620341165,0.14
4830,4865,4800,4865,16789,80953055,1.04
3385,3400,3280,3340,837461,2793496795,-1.04
1410,1420,1400,1420,126098,177798980,0.71
6060,6120,5980,6020,138262,833636200,-0.5
549,557,545,555,25194,13865523,1.09
1965,1980,1965,1975,17432,34439230,0.51
15850,15950,15500,15800,102291,1608679750,0.32
3220,3250,3180,3190,28892,92529120,-0.93
31250,31550,30750,30850,130203,4047879950,-0.16
525,549,512,542,1094025,580626774,3.44
15800,16050,15650,15850,12027,190223950,0.96
83600,87400,83200,85400,163852,13993271800,3.52
4280,4300,4155,4210,74430,314449005,-1.17
7450,7590,7240,7290,1720638,12802415480,-1.35
2075,2125,2070,2100,27939,58739325,0.96
11800,11800,11550,11700,42279,495646450,-0.43
7820,7820,7580,7580,135808,1036193680,-2.19
1950,1950,1920,1945,8143,15737520,0.52
6190,6270,6030,6200,220318,1359617850,1.47
4275,4375,4235,4345,58867,254148305,1.88
843,920,843,867,419952,367731603,3.09
5610,5650,5430,5460,68448,377708280,-2.33
10750,10750,10550,10700,106869,1136268000,0.47
17000,17100,16850,16900,88711,1504422750,0.6
604,604,591,597,35733,21303836,1.19
5060,5060,4855,4890,74589,366801635,-2.4
5730,5750,5700,5720,12377,70753490,0.0
6580,6660,6470,6550,165621,1085601370,0.15
17050,17100,16600,16950,257629,4334131750,0.3
2850,2910,2840,2900,28354,81460930,1.75
3900,3920,3795,3855,164354,631164935,-0.9
1190,1190,1160,1165,285445,332620905,-0.85
17600,17800,17450,17650,5391,94890550,0.57
1185,1190,1170,1175,413900,487830675,-0.84
25750,25750,25100,25350,6802,172039250,0.2
142000,142700,140000,140100,27160,3812961300,-1.27
11100,11500,10850,10850,91101,1017502800,-1.36
19550,19550,19100,19200,145477,2799996800,-1.29
7100,7160,6970,7100,78525,553229300,-0.14
12700,13250,12650,13200,499919,6494805800,4.76
4715,4770,4695,4730,82726,391076740,0.21
2635,2640,2615,2635,16882,44415305,0.19
4095,4500,4065,4075,856330,3689740230,-0.49
5040,5100,5000,5090,537922,2722422730,1.39
104900,106800,101100,103800,218478,22685965000,-0.29
7190,7190,7110,7130,6872,48971300,0.28
1280,1285,1270,1285,34415,44023335,0.78
13200,13550,13000,13350,69520,928669200,1.52
1575,1600,1560,1560,197049,312687035,-0.95
2255,2275,2220,2265,163885,368728940,0.67
3150,3180,3125,3140,32427,102156055,-0.16
7820,7850,7700,7780,36217,281318980,0.26
4735,4745,4655,4680,150305,704535550,0.32
3015,3025,2970,3000,35527,106139895,0.0
